"","PRE_POST","Station","FechayHora","Species","Grupo","Cuando","hora_redondeo","hora"
"138","PRE","E22","21/08/2018 13:21","Gato",1,2018-08-21 13:21:00,2018-08-21 13:00:00,13
"139","PRE","E23","22/08/2018 16:59","Gato",1,2018-08-22 16:59:00,2018-08-22 17:00:00,17
"140","PRE","E23","22/08/2018 21:59","Gato",1,2018-08-22 21:59:00,2018-08-22 22:00:00,22
"141","PRE","E23","24/08/2018 7:52","Gato",1,2018-08-24 07:52:00,2018-08-24 08:00:00,8
"142","PRE","E27","24/08/2018 9:40","Gato",1,2018-08-24 09:40:00,2018-08-24 10:00:00,10
"143","PRE","E27","24/08/2018 23:35","Gato",1,2018-08-24 23:35:00,2018-08-25 00:00:00,0
"144","PRE","E30","23/08/2018 14:49","Gato",1,2018-08-23 14:49:00,2018-08-23 15:00:00,15
"145","PRE","E32","03/09/2018 13:14","Gato",1,2018-09-03 13:14:00,2018-09-03 13:00:00,13
"146","PRE","E32","04/09/2018 14:31","Gato",1,2018-09-04 14:31:00,2018-09-04 15:00:00,15
"147","PRE","E32","05/09/2018 12:11","Gato",1,2018-09-05 12:11:00,2018-09-05 12:00:00,12
"148","PRE","E33","03/09/2018 11:36","Gato",1,2018-09-03 11:36:00,2018-09-03 12:00:00,12
"149","PRE","E33","03/09/2018 11:44","Gato",1,2018-09-03 11:44:00,2018-09-03 12:00:00,12
"150","PRE","E33","03/09/2018 11:53","Gato",1,2018-09-03 11:53:00,2018-09-03 12:00:00,12
"151","PRE","E33","03/09/2018 12:04","Gato",1,2018-09-03 12:04:00,2018-09-03 12:00:00,12
"152","PRE","E33","03/09/2018 12:09","Gato",1,2018-09-03 12:09:00,2018-09-03 12:00:00,12
"153","PRE","E33","03/09/2018 12:30","Gato",1,2018-09-03 12:30:00,2018-09-03 13:00:00,13
"154","PRE","E33","03/09/2018 12:40","Gato",1,2018-09-03 12:40:00,2018-09-03 13:00:00,13
"155","PRE","E33","03/09/2018 13:16","Gato",1,2018-09-03 13:16:00,2018-09-03 13:00:00,13
"156","PRE","E33","03/09/2018 13:47","Gato",1,2018-09-03 13:47:00,2018-09-03 14:00:00,14
"157","PRE","E33","03/09/2018 14:25","Gato",1,2018-09-03 14:25:00,2018-09-03 14:00:00,14
"158","PRE","E33","03/09/2018 15:28","Gato",1,2018-09-03 15:28:00,2018-09-03 15:00:00,15
"159","PRE","E33","03/09/2018 15:28","Gato",1,2018-09-03 15:28:00,2018-09-03 15:00:00,15
"160","PRE","E33","03/09/2018 15:50","Gato",1,2018-09-03 15:50:00,2018-09-03 16:00:00,16
"161","PRE","E33","03/09/2018 15:50","Gato",1,2018-09-03 15:50:00,2018-09-03 16:00:00,16
"162","PRE","E33","03/09/2018 17:38","Gato",1,2018-09-03 17:38:00,2018-09-03 18:00:00,18
