"","Station","Species","Cuando","hora_redondeo"
"193","E33","Gato_2018","04/09/2018 11:57","04/09/2018 12:00"
"194","E33","Gato_2018","04/09/2018 13:36","04/09/2018 14:00"
"195","E33","Gato_2018","04/09/2018 13:36","04/09/2018 14:00"
"196","E33","Gato_2018","04/09/2018 13:36","04/09/2018 14:00"
"197","E33","Gato_2018","04/09/2018 13:45","04/09/2018 14:00"
"198","E33","Gato_2018","04/09/2018 14:36","04/09/2018 15:00"
"199","E33","Gato_2018","04/09/2018 14:48","04/09/2018 15:00"
"200","E33","Gato_2018","04/09/2018 15:12","04/09/2018 15:00"
"201","E33","Gato_2018","04/09/2018 17:07","04/09/2018 17:00"
"202","E33","Gato_2018","04/09/2018 17:13","04/09/2018 17:00"
"203","E33","Gato_2018","04/09/2018 17:13","04/09/2018 17:00"
"204","E33","Gato_2018","04/09/2018 17:28","04/09/2018 17:00"
"205","E33","Gato_2018","04/09/2018 17:41","04/09/2018 18:00"
"206","E33","Gato_2018","04/09/2018 17:51","04/09/2018 18:00"
"207","E33","Gato_2018","04/09/2018 18:03","04/09/2018 18:00"
"208","E33","Gato_2018","04/09/2018 18:08","04/09/2018 18:00"
"209","E33","Gato_2018","04/09/2018 18:08","04/09/2018 18:00"
"210","E33","Gato_2018","04/09/2018 19:48","04/09/2018 20:00"
"211","E33","Gato_2018","04/09/2018 22:16","04/09/2018 22:00"
"212","E33","Gato_2018","04/09/2018 23:00","04/09/2018 23:00"
"213","E33","Gato_2018","05/09/2018 7:20","05/09/2018 7:00"
"214","E33","Gato_2018","05/09/2018 9:41","05/09/2018 10:00"
"215","E33","Gato_2018","05/09/2018 10:38","05/09/2018 11:00"
"216","E33","Gato_2018","05/09/2018 10:55","05/09/2018 11:00"
"217","E33","Gato_2018","05/09/2018 10:58","05/09/2018 11:00"
"218","E33","Gato_2018","05/09/2018 11:03","05/09/2018 11:00"
"219","E33","Gato_2018","05/09/2018 11:16","05/09/2018 11:00"
"220","E33","Gato_2018","05/09/2018 11:55","05/09/2018 12:00"
"221","E33","Gato_2018","05/09/2018 13:57","05/09/2018 14:00"
"222","E34","Gato_2018","06/09/2018 13:57","06/09/2018 14:00"
"223","E33","Gato_2018","05/09/2018 14:10","05/09/2018 14:00"
"224","E33","Gato_2018","05/09/2018 14:25","05/09/2018 14:00"
"225","E33","Gato_2018","05/09/2018 14:30","05/09/2018 15:00"
"226","E34","Gato_2018","06/09/2018 14:30","06/09/2018 15:00"
"227","E33","Gato_2018","05/09/2018 17:04","05/09/2018 17:00"
"228","E33","Gato_2018","05/09/2018 17:54","05/09/2018 18:00"
"229","E33","Gato_2018","05/09/2018 17:54","05/09/2018 18:00"
"230","E33","Gato_2018","05/09/2018 17:54","05/09/2018 18:00"
"231","E33","Gato_2018","05/09/2018 17:56","05/09/2018 18:00"
"232","E33","Gato_2018","05/09/2018 18:05","05/09/2018 18:00"
"233","E33","Gato_2018","05/09/2018 18:05","05/09/2018 18:00"
"234","E33","Gato_2018","05/09/2018 18:05","05/09/2018 18:00"
"235","E33","Gato_2018","06/09/2018 9:23","06/09/2018 9:00"
"236","E33","Gato_2018","06/09/2018 10:05","06/09/2018 10:00"
"237","E33","Gato_2018","06/09/2018 10:13","06/09/2018 10:00"
"238","E33","Gato_2018","06/09/2018 10:30","06/09/2018 11:00"
"239","E33","Gato_2018","06/09/2018 10:35","06/09/2018 11:00"
"240","E33","Gato_2018","06/09/2018 10:39","06/09/2018 11:00"
"241","E33","Gato_2018","06/09/2018 10:39","06/09/2018 11:00"
"242","E33","Gato_2018","06/09/2018 10:49","06/09/2018 11:00"
"243","E33","Gato_2018","06/09/2018 10:54","06/09/2018 11:00"
"244","E33","Gato_2018","06/09/2018 10:54","06/09/2018 11:00"
"245","E33","Gato_2018","06/09/2018 11:08","06/09/2018 11:00"
"246","E33","Gato_2018","06/09/2018 11:14","06/09/2018 11:00"
"247","E33","Gato_2018","06/09/2018 11:17","06/09/2018 11:00"
"248","E33","Gato_2018","06/09/2018 11:29","06/09/2018 11:00"
"249","E33","Gato_2018","06/09/2018 11:34","06/09/2018 12:00"
"250","E33","Gato_2018","06/09/2018 13:29","06/09/2018 13:00"
"251","E33","Gato_2018","06/09/2018 14:08","06/09/2018 14:00"
"252","E33","Gato_2018","06/09/2018 14:52","06/09/2018 15:00"
"253","E33","Gato_2018","06/09/2018 14:55","06/09/2018 15:00"
"254","E33","Gato_2018","06/09/2018 14:57","06/09/2018 15:00"
"255","E33","Gato_2018","06/09/2018 15:27","06/09/2018 15:00"
"256","E33","Gato_2018","06/09/2018 16:28","06/09/2018 16:00"
"257","E33","Gato_2018","06/09/2018 16:38","06/09/2018 17:00"
"258","E33","Gato_2018","06/09/2018 18:45","06/09/2018 19:00"
"259","E33","Gato_2018","06/09/2018 18:45","06/09/2018 19:00"
"260","E33","Gato_2018","06/09/2018 18:45","06/09/2018 19:00"
"261","E33","Gato_2018","06/09/2018 18:45","06/09/2018 19:00"
"262","E33","Gato_2018","06/09/2018 18:45","06/09/2018 19:00"
"263","E33","Gato_2018","06/09/2018 18:45","06/09/2018 19:00"
"264","E33","Gato_2018","07/09/2018 7:48","07/09/2018 8:00"
"265","E33","Gato_2018","07/09/2018 7:52","07/09/2018 8:00"
"266","E33","Gato_2018","07/09/2018 10:01","07/09/2018 10:00"
"267","E33","Gato_2018","07/09/2018 10:23","07/09/2018 10:00"
"268","E33","Gato_2018","07/09/2018 10:48","07/09/2018 11:00"
"269","E33","Gato_2018","07/09/2018 12:11","07/09/2018 12:00"
"270","E33","Gato_2018","07/09/2018 12:29","07/09/2018 12:00"
"271","E33","Gato_2018","07/09/2018 12:46","07/09/2018 13:00"
"272","E33","Gato_2018","07/09/2018 19:08","07/09/2018 19:00"
"273","E33","Gato_2018","08/09/2018 5:19","08/09/2018 5:00"
"274","E33","Gato_2018","08/09/2018 8:35","08/09/2018 9:00"
