nro;PRE_POST;Station;FechayHora;Species2;Species;Grupo;Cuando;hora_redondeo;hora
186;PRE;E33;04/09/2018 10:44;Gato;Gato_2018;1;04/09/2018 10:44;04/09/2018 11:00;11
187;PRE;E33;04/09/2018 10:47;Gato;Gato_2018;1;04/09/2018 10:47;04/09/2018 11:00;11
188;PRE;E33;04/09/2018 11:01;Gato;Gato_2018;1;04/09/2018 11:01;04/09/2018 11:00;11
189;PRE;E33;04/09/2018 11:10;Gato;Gato_2018;1;04/09/2018 11:10;04/09/2018 11:00;11
190;PRE;E33;04/09/2018 11:17;Gato;Gato_2018;1;04/09/2018 11:17;04/09/2018 11:00;11
191;PRE;E33;04/09/2018 11:17;Gato;Gato_2018;1;04/09/2018 11:17;04/09/2018 11:00;11
192;PRE;E33;04/09/2018 11:17;Gato;Gato_2018;1;04/09/2018 11:17;04/09/2018 11:00;11
193;PRE;E33;04/09/2018 11:57;Gato;Gato_2018;1;04/09/2018 11:57;04/09/2018 12:00;12
194;PRE;E33;04/09/2018 13:36;Gato;Gato_2018;1;04/09/2018 13:36;04/09/2018 14:00;14
195;PRE;E33;04/09/2018 13:36;Gato;Gato_2018;1;04/09/2018 13:36;04/09/2018 14:00;14
196;PRE;E33;04/09/2018 13:36;Gato;Gato_2018;1;04/09/2018 13:36;04/09/2018 14:00;14
197;PRE;E33;04/09/2018 13:45;Gato;Gato_2018;1;04/09/2018 13:45;04/09/2018 14:00;14
198;PRE;E33;04/09/2018 14:36;Gato;Gato_2018;1;04/09/2018 14:36;04/09/2018 15:00;15
199;PRE;E33;04/09/2018 14:48;Gato;Gato_2018;1;04/09/2018 14:48;04/09/2018 15:00;15
200;PRE;E33;04/09/2018 15:12;Gato;Gato_2018;1;04/09/2018 15:12;04/09/2018 15:00;15
201;PRE;E33;04/09/2018 17:07;Gato;Gato_2018;1;04/09/2018 17:07;04/09/2018 17:00;17
202;PRE;E33;04/09/2018 17:13;Gato;Gato_2018;1;04/09/2018 17:13;04/09/2018 17:00;17
203;PRE;E33;04/09/2018 17:13;Gato;Gato_2018;1;04/09/2018 17:13;04/09/2018 17:00;17
204;PRE;E33;04/09/2018 17:28;Gato;Gato_2018;1;04/09/2018 17:28;04/09/2018 17:00;17
205;PRE;E33;04/09/2018 17:41;Gato;Gato_2018;1;04/09/2018 17:41;04/09/2018 18:00;18
206;PRE;E33;04/09/2018 17:51;Gato;Gato_2018;1;04/09/2018 17:51;04/09/2018 18:00;18
